,English,Kanji,Kana,Romaji
162,paper,紙, かみ ,kami
163,camera,-,カメラ ,kamera
164,Tuesday,火曜日, かようび ,kayōbi
165,spicy,辛い, からい ,karai
166,body,体, からだ ,karada
167,to borrow,借りる, かりる ,kariru
168,light,軽い, かるい ,karui
169,curry,-,カレー ,karē
170,calendar,-,カレンダー ,karendā
171,river,川 / 河, かわ ,kawa
172,cute,-,かわいい ,kawaii
173,Chinese character,漢字, かんじ ,kanji
174,"tree,wood",木, き ,ki
175,yellow,黄色, きいろ ,kiiro
176,yellow,黄色い, きいろい ,kiiroi
177,to disappear,消える, きえる ,kieru
178,"to hear,to listen to,to ask",聞く, きく ,kiku
179,north,北, きた ,kita
180,guitar,-,ギター ,gitā
181,dirty,汚い, きたない ,kitanai
182,coffee lounge,喫茶店, きっさてん ,kiっsaten
183,postage stamp,切手, きって ,kiっte
184,ticket,切符, きっぷ ,kiっpu
185,yesterday,昨日, きのう ,kinō
186,nine,九, きゅう / く ,kyū / ku
187,beef,牛肉, ぎゅうにく ,gyūniku
188,milk,牛乳, ぎゅうにゅう ,gyūnyū
189,today,今日, きょう ,kyō
190,classroom,教室, きょうしつ ,kyōshitsu
191,(humble) siblings,兄弟, きょうだい ,kyōdai
192,last year,去年, きょねん ,kyonen
193,hate,嫌い, きらい ,kirai
194,to cut,切る, きる ,kiru
195,to put on from the shoulders down,着る, きる ,kiru
196,"pretty,clean",-,きれい ,kirei
197,kilogram,-,キロ / キログラム ,kiro / kiroguramu
198,kilometre,-,キロ / キロメートル ,kiro / kiromētoru
199,bank,銀行, ぎんこう ,ginkō
200,Friday,金曜日, きんようび ,kinyōbi
201,medicine,薬, くすり ,kusuri
202,please,-,ください ,kudasai
203,fruit,果物, くだもの ,kudamono
204,"mouth,opening",口, くち ,kuchi
205,shoes,靴, くつ ,kutsu
206,socks,靴下, くつした ,kutsushita
207,country,国, くに ,kuni
208,cloudy weather,曇り, くもり ,kumori
209,"to become cloudy,to become dim",曇る, くもる ,kumoru
210,gloomy,暗い, くらい ,kurai
211,class,-,クラス ,kurasu
212,gram,-,グラム ,guramu
213,to come,来る, くる ,kuru
214,"car,vehicle",車, くるま ,kuruma
215,black,黒, くろ ,kuro
216,black,黒い, くろい ,kuroi
217,policeman,警官, けいかん ,keikan
218,this morning,今朝, けさ ,kesa
219,"to erase,to turn off power",消す, けす ,kesu
220,"splendid,enough",結構, けっこう ,keっkō
221,marriage,結婚, けっこん ,keっkon
222,Monday,月曜日, げつようび ,getsuyōbi
223,entry hall,玄関, げんかん ,genkan
224,"health, vitality",元気, げんき ,genki
225,five,五, ご ,go
226,park,公園, こうえん ,kōen
227,intersection,交差点, こうさてん ,kōsaten
228,black tea,紅茶, こうちゃ ,kōcha
229,police box,交番, こうばん ,kōban
230,voice,声, こえ ,koe
231,"coat,tennis court",-,コート ,kōto
